term_id,canonical_name,term_type,aliases,source_name,source_id,source_url,updated_at
nutrition_001,나트륨,nutrition_label,나트류|나트륨_|sodium,seed_product_input_dictionary,nutrition_label_sodium,,2026-06-15
nutrition_002,탄수화물,nutrition_label,탄수하물|탄수 화물|carbohydrate,seed_product_input_dictionary,nutrition_label_carbohydrate,,2026-06-15
nutrition_003,당류,nutrition_label,당 유|sugars,seed_product_input_dictionary,nutrition_label_sugars,,2026-06-15
nutrition_004,지방,nutrition_label,fat,seed_product_input_dictionary,nutrition_label_fat,,2026-06-15
nutrition_005,트랜스지방,nutrition_label,트렌스지방|trans fat,seed_product_input_dictionary,nutrition_label_trans_fat,,2026-06-15
nutrition_006,포화지방,nutrition_label,포화 지방|saturated fat,seed_product_input_dictionary,nutrition_label_saturated_fat,,2026-06-15
nutrition_007,콜레스테롤,nutrition_label,콜래스테롤|cholesterol,seed_product_input_dictionary,nutrition_label_cholesterol,,2026-06-15
nutrition_008,단백질,nutrition_label,단 백질|protein,seed_product_input_dictionary,nutrition_label_protein,,2026-06-15
nutrition_009,열량,nutrition_label,칼로리|kcal|calorie,seed_product_input_dictionary,nutrition_label_calorie,,2026-06-15
label_001,제품명,product_label,상품명|품명,seed_product_input_dictionary,product_label_name,,2026-06-15
label_002,식품유형,product_label,식품의 유형|식품 타입|식품종류,seed_product_input_dictionary,product_label_food_type,,2026-06-15
label_003,내용량,product_label,중량|용량|중량/용량|총내용량,seed_product_input_dictionary,product_label_quantity,,2026-06-15
label_004,원재료명,product_label,원료명|원재료|성분|원재료 및 함량,seed_product_input_dictionary,product_label_ingredients,,2026-06-15
label_005,보관방법,storage_label,보관|보관 법|보관요령,seed_product_input_dictionary,product_label_storage,,2026-06-15
label_006,소비기한,product_label,유통기한|품질유지기한|소비 기간,seed_product_input_dictionary,product_label_expiry,,2026-06-15
label_007,제조원,product_label,제조사|제조업소|제조업체,seed_product_input_dictionary,product_label_manufacturer,,2026-06-15
ingredient_001,밀가루,ingredient,소맥분|wheat flour,seed_product_input_dictionary,ingredient_wheat_flour,,2026-06-15
ingredient_002,밀,ingredient,소맥|wheat,seed_product_input_dictionary,ingredient_wheat,,2026-06-15
ingredient_003,쌀,ingredient,백미|rice,seed_product_input_dictionary,ingredient_rice,,2026-06-15
ingredient_004,대두,ingredient,콩|soybean|soy,seed_product_input_dictionary,ingredient_soybean,,2026-06-15
ingredient_005,우유,ingredient,유|milk,seed_product_input_dictionary,ingredient_milk,,2026-06-15
ingredient_006,쇠고기,ingredient,소고기|beef,seed_product_input_dictionary,ingredient_beef,,2026-06-15
ingredient_007,돼지고기,ingredient,돈육|pork,seed_product_input_dictionary,ingredient_pork,,2026-06-15
ingredient_008,닭고기,ingredient,계육|chicken,seed_product_input_dictionary,ingredient_chicken,,2026-06-15
ingredient_009,새우,ingredient,shrimp,seed_product_input_dictionary,ingredient_shrimp,,2026-06-15
ingredient_010,조개류,ingredient,패류|shellfish,seed_product_input_dictionary,ingredient_shellfish,,2026-06-15
ingredient_011,설탕,ingredient,백설탕|sugar,seed_product_input_dictionary,ingredient_sugar,,2026-06-15
ingredient_012,정제수,ingredient,물|water,seed_product_input_dictionary,ingredient_water,,2026-06-15
